orgpermid,year,cusip,isin,sedol,ticker,siccode,naicscode,comname,fieldid,fieldname,value,valuescore
4295908720,2010,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.750007832
4295908720,2011,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.78093374
4295908720,2012,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.771790831
4295908720,2013,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.769378832
4295908720,2014,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.829787848
4295908720,2015,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.780949409
4295908720,2016,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A,0.88476224
4295908720,2017,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A,0.874760362
4295908720,2018,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A,0.838022506
4295908720,2019,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A,0.876062511
4295908720,2020,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A,0.86878313
4295908720,2021,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A,0.88127255
4295908720,2022,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.820398614
4295908720,2023,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.801317689
4295908720,2024,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.752939183
4295908720,2025,00846U101,US00846U1016,2520153,A,3826,,"AGILENT TECHNOLOGIES, INC.",2,ESGCombinedScore,A-,0.799215343
4295896494,2010,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B-,0.536093095
4295896494,2011,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B-,0.549057645
4295896494,2012,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,A,0.871508714
4295896494,2013,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B,0.620704213
4295896494,2014,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,A,0.888866848
4295896494,2015,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B-,0.501999797
4295896494,2016,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B+,0.695347374
4295896494,2017,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B+,0.748069259
4295896494,2018,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,A-,0.817476171
4295896494,2019,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,A-,0.813380064
4295896494,2020,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B,0.606227364
4295896494,2021,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B,0.616038381
4295896494,2022,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,B,0.594458576
4295896494,2023,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,A-,0.797076574
4295896494,2024,,GB00B1XZS820,B1XZS82,AAL,,,ANGLO AMERICAN PLC,2,ESGCombinedScore,C+,0.480059135
4295903254,2010,,,,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,B-,0.508832028
4295903254,2011,,,,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C-,0.327962319
4295903254,2012,,,,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C-,0.323904684
4295903254,2013,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C+,0.435986273
4295903254,2014,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,B-,0.516225772
4295903254,2015,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,B-,0.576908293
4295903254,2016,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,B+,0.699722321
4295903254,2017,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C,0.366714364
4295903254,2018,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,B+,0.706415861
4295903254,2019,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C,0.388282012
4295903254,2020,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C,0.355482605
4295903254,2021,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C-,0.319052867
4295903254,2022,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C,0.387973428
4295903254,2023,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C,0.409378345
4295903254,2024,02376R102,US02376R1023,BCV7KT2,AAL,4512,,AMERICAN AIRLINES GROUP INC.,2,ESGCombinedScore,C,0.343633366
4295905573,2010,37833100,US0378331005,2046251,AAPL,3571,,APPLE INC.,2,ESGCombinedScore,C-,0.313315452
4295905573,2011,37833100,US0378331005,2046251,AAPL,3571,,APPLE INC.,2,ESGCombinedScore,C-,0.27707795
4295905573,2012,37833100,US0378331005,2046251,AAPL,3571,,APPLE INC.,2,ESGCombinedScore,C-,0.298397358
4295905573,2013,37833100,US0378331005,2046251,AAPL,3571,,APPLE INC.,2,ESGCombinedScore,C-,0.319356226
4295905573,2014,37833100,US0378331005,2046251,AAPL,3571,,APPLE INC.,2,ESGCombinedScore,C-,0.297537964
